candidate_id,review_text,source_tier,label,annotation_number
REV-0001268,dugay lang jud ma prepare,TIER_A_CONFIDENT,complaint,17
REV-0001348,kulang ang gi hatag wa akng extra rice nya ang tapsilog gamay ra kayo ang tapa mga 1 1/2 ra sa kutsara,TIER_A_CONFIDENT,complaint,18
REV-0001367,"Legit! lami gyud siya, ang sisig, lechon and all, its giving mahalon nga lami. way to goo!",TIER_A_CONFIDENT,not_complaint,19
REV-0001388,Hala porya gaba oy! Ang buko pandan dili bugnaw wala man lang nabutang daan gipabugnaw sa ref bago ma deliver! Ang nut water kay murag gikan na initan sa adlaw! Naka minus man guro ni nga restaurant!,TIER_A_CONFIDENT,complaint,20
REV-0001392,"Mam sir the food is good. Pero naa ko ask ba, 1 pc ra jud ang chorizo ang longganisa? Mahal ra kau cya sa price ninyo",TIER_A_CONFIDENT,complaint,21
REV-0001450,super lami kaayo😋,TIER_A_CONFIDENT,not_complaint,22
REV-0001557,"Very consistent jud ni sila, fast, and my go-to when it comes to Biryani og Paratha. I prefer my Biryani EXTREMELY spicy ngya ilaha rajud ang lami nga ako jud balik balikom",TIER_A_CONFIDENT,not_complaint,23
REV-0001828,please i-make sure kumpleto inyung servings kay kumpleto sad mi gabayad here maka disappoint kapila na ni nahitabo ay,TIER_A_CONFIDENT,complaint,24
REV-0001874,gagmay ra kaayo ang manok unlike last time,TIER_A_CONFIDENT,complaint,25
REV-0001885,super lami uy atay... kulang pa mka order npod kog balik hehhehheeh mka adik😊😊,TIER_A_CONFIDENT,not_complaint,26
REV-0001943,"Way lami ang adobo promise, lahi ra kaayo sa picture. Murag bahaw ang pagkaon",TIER_A_CONFIDENT,complaint,27
REV-0001975,SERVING SA 119 pesos kay pang 30 pesos ra na sud an sa kanto. gamay kaayo. TSK,TIER_A_CONFIDENT,complaint,28
REV-0002153,"always jud ko naga order dri kay lami ang vegan fried rice and affordable, pero today na disappoint ko kay kulang ang akong order, nagpay ko ug additional 25 but wala gi apil... unta sunod kumpleto na",TIER_A_CONFIDENT,complaint,29
REV-0002169,"aside sa lami ilang takoyaki, the owner was so nice. best customer service experience! thank you kaayo sa owner.",TIER_A_CONFIDENT,not_complaint,30
REV-0002208,"Generous serving, lami kaau ilang food with side dishes. I always order here if ever mag crave ko ug Korean food.",TIER_A_CONFIDENT,not_complaint,31
REV-0002222,"Lami tanan,.pork sisig,dinugoan and balbacua.,sulit among bayad and busog kaayo..salamay.next time npud order mi usab.",TIER_A_CONFIDENT,not_complaint,32
REV-0002293,"Ang donut lami jud! but I dont recommend any of their drinks! wala jud lami! luod, tab-ang!",TIER_A_CONFIDENT,complaint,33
REV-0002328,Kulang2 mani inyo pagkaon walay egg ug cheese. This is a scam do not buy this!!!!!,TIER_A_CONFIDENT,complaint,34
REV-0002340,Same gabii walay extra rice gihapon taronga intawn palihug,TIER_A_CONFIDENT,complaint,35
REV-0002341,pangundang na lang mog baligya dire sa fp if ing ani na quality inyong iserve. 1/8 ra ang spaghetti sa box. ang kan on kay dili chooks rice !,TIER_A_CONFIDENT,complaint,36
REV-0002380,Daghan ug servings nya lami kaayu!,TIER_A_CONFIDENT,not_complaint,37
REV-0002424,Lamia di jud ka Tihikan. 5 stars ⭐. Will order again,TIER_A_CONFIDENT,not_complaint,38
REV-0002427,thank you naa nay salsa dip pag order nako sa nachos haha the burrito was good also but not my type cguro i'll try the other burrito next time. 👍🏻👍🏻,TIER_A_CONFIDENT,not_complaint,39
REV-0002432,lami kaayo maong ga balik2 mi ug order barato ra pa gyod,TIER_A_CONFIDENT,not_complaint,40
REV-0002474,lami tanan and generous ang serving,TIER_A_CONFIDENT,not_complaint,41
REV-0002475,good food lami tanan,TIER_A_CONFIDENT,not_complaint,42
REV-0002486,"We order beef salpicao. They gave us brown rice nga gahi kaayo, we thought of the wrap kay mao man naa sa ilang picture.",TIER_A_CONFIDENT,complaint,43
REV-0002529,I order original chicken joy but they give me spicy unsaon Pag kaon sa akong anak ani ..wa moy ayu,TIER_A_CONFIDENT,complaint,44
REV-0002586,Yummy. Unod kaayu ang liempo dli kaayu tambok.,TIER_A_CONFIDENT,not_complaint,45
REV-0002736,GAHI ANG PASTA. ang sauce cold and nigahi nah. pati presentation not appealing. gibutang daan ang sliced egg tpos sabay gitabunan ug sauce! kelangan pa ukayun ug taman pra mkita ang egg. FAST DRLIVERY,TIER_A_CONFIDENT,complaint,46
REV-0002749,Satisfied ra pero grabiha pod kalata ang rice morag lugaw na gipotos og papel. Sayang wala makaon🥹,TIER_A_CONFIDENT,complaint,47
REV-0002787,lami gyud siya ikaduha na namo ning order . Gabie ug krn 😊,TIER_A_CONFIDENT,not_complaint,48
REV-0002808,lame jud kaayu basta Alberto's na pizza,TIER_A_CONFIDENT,not_complaint,49
REV-0002838,the goto was okay. kanang tokwa't baboy mura syag adobo na gibutangan og tokwa sa kadaghag mantika. di siya same quality sa lahi nga gotokai na gipalitan nako,TIER_A_CONFIDENT,complaint,50
REV-0002971,First time makatry lami gyud diay ilang food ug ang lemon cucumber salamat,TIER_A_CONFIDENT,not_complaint,51
REV-0003074,My new favorite Eatery. Naguba akong diet 😂 lami kaayu ang food. Craving satisfied ❤️,TIER_A_CONFIDENT,not_complaint,52
REV-0003102,Walay STRAW! Unsaon man kono ni pag suyop?,TIER_A_CONFIDENT,complaint,53
REV-0003159,second day in a row to order from this resto. lami jud ilang food. lami nga klaseng cornbeef pa gyud ang gamit.,TIER_A_CONFIDENT,not_complaint,54
REV-0003186,Lami ang sisig ug tocino pero tam is ra para sa ako kalamansi juice. Overall the food is good.,TIER_A_CONFIDENT,complaint,55
REV-0003235,Lami ang food very sulit tas kudos kay mu follow sad ug request. Thank you :),TIER_A_CONFIDENT,not_complaint,56
REV-0003318,lami gyud diay! worth it ra sa price 🤌,TIER_A_CONFIDENT,not_complaint,57
REV-0003351,way lami ang rice. gahi kaau.,TIER_A_CONFIDENT,complaint,58
REV-0003391,"Past orders, food served was warm pa even if ig abot sa akoa pero now idk bugnaw na kaayu di mn lng bag o ang food na gi serve",TIER_A_CONFIDENT,complaint,59
REV-0003395,Nganong nachange ang size ninyo? We ordered 2pc chicken. Ang size sa karon sa 2 pcs of chicken kay equivalent sa 1 pc na size ninyo before. Totlly no longer worth the price. So infuriating!!,TIER_A_CONFIDENT,complaint,60
REV-0003468,The best jd permi dri. Lami tanan ❤️,TIER_A_CONFIDENT,not_complaint,61
REV-0003470,"Makalingaw ang experience ug literal ang ka-fresh sa additional lettuce kay naa pay ugat! Lami usab ang karne, kimchi and other side dishes. ☺",TIER_A_CONFIDENT,not_complaint,62
REV-0003607,Ordered All Crabs Muk-ja. Lami kaayu. Will order again.,TIER_A_CONFIDENT,not_complaint,63
REV-0003645,Lami jud kaayo ilang pork lumpia pls lang jud HWJAAHAHA,TIER_A_CONFIDENT,not_complaint,64
REV-0003866,"Wow.. Malasado kaau ilang manok, pwede ra walay sauce. Unya affordable ra kaau. Order ko utro puhon. Lami kaayo",TIER_A_CONFIDENT,not_complaint,65
REV-0003894,Not my first time ordering here but this is my first time to give review. As always ang isaw nila lami crispy. Sakto lang ang sinigang but the lechon kawali is a bit no no for me. Wala naayos ug luto,TIER_A_CONFIDENT,complaint,66
REV-0003895,Very crispy ang isaw. Many times na mi nag order most requested kau ang ilang isaw dri sa amoa kng naay noma hehe,TIER_A_CONFIDENT,not_complaint,67
REV-0003898,Tam-is kaayo akung order karun bisag 25% ra ang sugar. Dri gyud ko tig order pero lahi rajud karun.,TIER_A_CONFIDENT,complaint,68
REV-0003899,LAMI KAAYO! Crunchy chicken + the sauce???? ughhh 🤤🤤🤤🤤🤤🤤🤤,TIER_A_CONFIDENT,not_complaint,69
REV-0003948,Pearls are too sweet then next time po kindly put labels on it para makahibaw inyong mga customers nga unsa ni nga milktea unsaon mani namo mag tag an-tag an? Twice or Thrice nani nahitabo please lang,TIER_A_CONFIDENT,complaint,70
REV-0003966,lami ang pizza pero best part kay when namalihog ko ni kuya papalot citirizen unya daghan jud giadtoan just to help me find citirzien sa ako allergy. ending gakaon ko pizza nga nangatol. kudos to kuya,TIER_A_CONFIDENT,not_complaint,71
REV-0003996,i love tteokbokki! sakto ra ang pagka spicy for me. ang kimbap was so soso. but BIG NO sa milktea nga cookies and cream. haha 😅 weird taste. sorry. lahi ra sa uban. Not worth the price po. phew.,TIER_A_CONFIDENT,complaint,72
REV-0004133,my always go to cakes everytime naga crave kog cake.. Dili sad ko mahilig ug cakes pero si conlu rajud Ang reason nganung ga palit ko..pero mas bet nko tung normal na brownies compared Kay red velvet.,TIER_A_CONFIDENT,not_complaint,73
REV-0004330,Wa nako nahurot ang scallops grabe ka pagod. Way lami kan.on jud. Nya ang manok hilaw2 pa.,TIER_A_CONFIDENT,complaint,74
REV-0004331,Medyo nausab ang fries di na cya pariho sauna na crispy ug lami jud. Mura nag jolibee mabugnawan saggy na.,TIER_A_CONFIDENT,complaint,75
REV-0004406,pait kaayo Ang avocado shake unya mahal kaayo wow,TIER_A_CONFIDENT,complaint,76
REV-0004543,"Gahi ang bbq nga manok, so far lami rjud ug timpla.",TIER_A_CONFIDENT,complaint,77
REV-0004554,walay kutsara inyong gipadala unsaon namu pagkaon Ani run..Ika duha problema nag deliver mu ug kaduha. nga kaisa Raman ko nag order kaduha pudko nagbayad.deli ko ganahan sa lasa pasinsya na e improve,TIER_A_CONFIDENT,complaint,78
REV-0004565,"Forever my favorite jud ning Hybrid. Kapila nako nagsigi balik balik ug order diri but always jud, alwaaayssss lami. Nakapalit namig coffee maker and all pero magpangita jud kos taste sa hybrid HAHAHA",TIER_A_CONFIDENT,not_complaint,79
REV-0004571,"lami kaayo food. and ang delivery guy Kay patient. thank you sa food na lami. cheap but delicious, generous pajud ang serving.",TIER_A_CONFIDENT,not_complaint,80
REV-0004660,Lami kaayo esp the humba,TIER_A_CONFIDENT,not_complaint,81
REV-0004723,dugay but ok ra Kay g grant ako request so 5 stars for you guys good job,TIER_A_CONFIDENT,complaint,82
REV-0004811,"Ok lang ang lasa pero gagmay ra ang serving, medyo mahal sya unya gamay ra kaayo",TIER_A_CONFIDENT,complaint,83
REV-0004872,Thanks lami jod,TIER_A_CONFIDENT,not_complaint,84
REV-0005089,Lami ang lechon sakto sa lasa but dli na crispy ang panit .,TIER_A_CONFIDENT,complaint,85
REV-0005095,walay lami ang katung orange something but ang sulod lami ra,TIER_A_CONFIDENT,complaint,86
REV-0005167,pwera gaba ang tortang talong. walay bisan gamay na talong. puro harina and gamay na egg. mahal pa kaau.,TIER_A_CONFIDENT,complaint,87
REV-0005236,Way lami ilang food!🥲,TIER_A_CONFIDENT,complaint,88
REV-0005452,lami inyong lechon pero inyong togue and beans man akoa order pero nganu lasa man paksiw na isda lansa naa pa bola bola na puro harina 2 pa jud aq gi order sayang.,TIER_A_CONFIDENT,complaint,89
REV-0005453,sobra inyong sabaw sa gata lasaw kaau inyong beef mushroom sobraan sad ug palapot wala jud nahurot.,TIER_A_CONFIDENT,complaint,90
REV-0005580,"2nd time na nakong order ni kay ganahan ko sa ilang lechon manok, malasado kaau bisag wala nay sauce ibutang. Unya ang manok walay pahak. Satisfied kaau ko",TIER_A_CONFIDENT,not_complaint,91
REV-0005589,"Lami permi ug daghan ang serving, thanks.",TIER_A_CONFIDENT,not_complaint,92
REV-0005745,gahi ilang biko. Previous order nako kay lami baya unta. gahapon ky gahi.🥲,TIER_A_CONFIDENT,complaint,93
REV-0005766,thank you sa paspas na service ug lami na food 🤍,TIER_A_CONFIDENT,not_complaint,94
REV-0005821,kabalo unta mag read ug instruction ang server noh? lami mn ang food pero dili lang kabalo mag basa sa instruction.klaro ang instruction separate ang toyo and wala bawang sa tokwa..haist kaya 3 lng sa,TIER_A_CONFIDENT,complaint,95
REV-0005952,Arrived hot & crispy. Did not disappoint but hopefully naa silay lamian na suka.,TIER_A_CONFIDENT,not_complaint,96
REV-0006179,Lami ang food and malaman mo na bagong luto kase freshly packed jud siya,TIER_A_CONFIDENT,not_cebuano_english,97
REV-0006319,"Lami jud ilang food dri. When im craving for home cooked meals, this is my go to and it did not disappoint! Stay consistent kay mag balik2 ra jd ang taw. 👍",TIER_A_CONFIDENT,not_complaint,98
REV-0006354,ayaw jud mo try og order diri bogo kaayo ang tindera nag order ko unya nag extra ko sunny side up or scrambled egg ang gi hatag boiled egg nga bugnaw unsa utoka wala pay cutlery,TIER_A_CONFIDENT,complaint,99
REV-0006406,PERMI RA GYUD KALIMTAN ANG CHILI SAUCE OI PERMI RA GYUD SAYUP2 ORDER,TIER_A_CONFIDENT,complaint,100
REV-0006439,lami tanan. more meat on chopseuy unta puhon :),TIER_A_CONFIDENT,not_complaint,101
REV-0006450,Lami kaayo ang tuna belly!😋,TIER_A_CONFIDENT,not_complaint,102
REV-0006457,Poor packaging upon receiving the order. Niyabu ang sabaw sayang lami paman unta.,TIER_A_CONFIDENT,complaint,103
REV-0006564,"Sa kadugay na nako sige ug order, first time nga ang lato ug guso baho. Maayo na lang ang fried matambaka kay okay.",TIER_A_CONFIDENT,complaint,104
REV-0006607,"Lami ang templa sa manok og liempo ,gamay lang ang serving sa liempo",TIER_A_CONFIDENT,complaint,105
REV-0006650,"Daghan kaayu ang serving, lami.

Pero ang pares need improvement, medyu kuwangan kos lasa",TIER_A_CONFIDENT,complaint,106
REV-0006690,"LAMIA KAAYO UY 1ST TIME MAG ORDER LAMIAN KAAYO KO, KUHA ANG GUSTO NAKO NA TASTE SA PIZZA! LAMI PA SA snr hahaha NEW FAVE PIZZA STORE NANI NAKO. next time dagdagi lng hotsauce para combo na kaayo. tnx!",TIER_A_CONFIDENT,not_complaint,107
REV-0006945,I bought it from Mang Inasal but giputos ug Jobbee HAHAHHAHA,TIER_A_CONFIDENT,not_complaint,108
REV-0006992,Lami gyud kaau ang JD chicken. Makaadik nga manok. Salamat kaau 24 chicken. Until next order.,TIER_A_CONFIDENT,not_complaint,109
REV-0007172,Lami unta walay cheese,TIER_A_CONFIDENT,complaint,110
REV-0007193,lami gihapon mga naka 30 ka order nako ani ..wala nausab ang lasa,TIER_A_CONFIDENT,not_complaint,111
REV-0007336,We have ordered so many times already and as always foodies are super lami. Kudos to the owner and the team for granting my special request. As buntis it made my day. So far lami tanan amoang orders.,TIER_A_CONFIDENT,not_complaint,112
REV-0007337,Lami and sulit as always. Good job for serving quality food. Mag balik2x jud mig order diri.,TIER_A_CONFIDENT,not_complaint,113
REV-0007339,I ordered 3 servings of lechon kawali & it was overcooked hapit na jud masunog. dili na sya juicy. sayang  kaU oi,TIER_A_CONFIDENT,complaint,114
REV-0007347,lami unta pero napisat ang mga orders.,TIER_A_CONFIDENT,complaint,115
REV-0007368,Pirmi lng kuwang2 ang orders di e check ug tarong complete baa,TIER_A_CONFIDENT,complaint,116
REV-0007435,Always so generous with the servings ug lami jud. Worth it kau. 🌷,TIER_A_CONFIDENT,not_complaint,117
REV-0007542,"Super lami, worth it kaayo.",TIER_A_CONFIDENT,not_complaint,118
REV-0007628,Lami ang drinks pero pg-abot sa ako diri hapit na katunga ky wa gitarong ug sira and deliver. Lisod jud bsta paid daan ang order. Haist.,TIER_A_CONFIDENT,complaint,119
REV-0007651,"abi namo ug tag 112 ang reg lamaw nya 160 pag check out, ang porkchop lamaw 230! hoy kamahal",TIER_A_CONFIDENT,complaint,120
REV-0007657,woooii..kalami sa food .ug daghan kaaug serving inyong halo2x..🥰🥰,TIER_A_CONFIDENT,not_complaint,121
REV-0007701,lami!! daghan pud ang servings. worth it! salamuch 🤍,TIER_A_CONFIDENT,not_complaint,122
REV-0007756,walay utensils. ang noodles ug sabaw gisagol pag deliver.,TIER_A_CONFIDENT,complaint,123
REV-0007805,Kung unsa naa sa picture. Mao dyud sya. Dako syag serving. Lami ang chili cheesedog. Ang carbonara kay murag tam.is ra para sako,TIER_A_CONFIDENT,complaint,124
REV-0007830,"Good choice lamian kaayo mi sa 13th Ave Creamcheese, refreshing ang lasa pero mka sastify sa cravings. ty!",TIER_A_CONFIDENT,not_complaint,125
REV-0007924,Nigamay ang serving nila karon pero the best gihapon ila luto.,TIER_A_CONFIDENT,complaint,126
REV-0008193,"naka try ko sa garlic chicken, lami sya pero ang yangnyeom na rice bowl, bidli na sya over na sya sa sauce, wa nako na hurot kay bidli na sya",TIER_A_CONFIDENT,complaint,127
REV-0008308,1st time to try your Liempo and Lechon Liog. Pag Open palang daan naa nay Free 1pc Liog. Salamat kaayo.. Lami and Fast Delivery. Thanks pud sa Rider.,TIER_A_CONFIDENT,not_complaint,128
REV-0008376,Gamay ra kaayo ang chicken cracker,TIER_A_CONFIDENT,complaint,129
REV-0008419,gamay ra ang sud sa ako giorder spicy steamed fried rice maka disappoint,TIER_A_CONFIDENT,complaint,130
REV-0008661,Lami! Ug worth it kaayo ang price. Keep it up!,TIER_A_CONFIDENT,not_complaint,131
REV-0008695,"Mao rajud ako mahatag na review wa ko kauyon sa inyong BICOL EXPRESS ,3 orders but murag 1 order ra ang serving will NOT recommend it. Have Tuna Panga ALONE kini ra ang worth it.",TIER_A_CONFIDENT,complaint,132
REV-0008706,"chicken was good pero true Ang reviews nga gamay rag sauce, medyo disappointing lng Kai indicated nga more sauce pero dry ra gihapon.",TIER_A_CONFIDENT,complaint,133
REV-0008717,"kami kaayu crispy ang liempo ug lamii kaayu ang timpla, Pati ilang lechon liog haskang Lamia with hot sauce pa gyud,paspas ang delivery, Tnx to the delivery Rider",TIER_A_CONFIDENT,not_complaint,134
REV-0008762,"I love it, generous kay ang rice, dili tinihik 💕 og lami kay ila tocino 🤤",TIER_A_CONFIDENT,not_complaint,135
REV-0008783,"Dry kaayo ang fries, ang ice katunga sa baso dili crushed, ang patty sa burger pagod :)",TIER_A_CONFIDENT,complaint,136
REV-0008820,Lasaw but ang uban okay ra.,TIER_A_CONFIDENT,complaint,137
REV-0009023,"Do not buy here- daot ang Karne. Dili fresh ang karne, naay lain smell jud, ug katol sa baba. We ended up disposing the food!! Waste of money!!",TIER_A_CONFIDENT,complaint,138
REV-0009435,According to the description it already had pearls and i added extra pearls. To my surprise gamay ra kaayo and it’s like the pearls were barely there!!!!,TIER_A_CONFIDENT,complaint,139
REV-0009474,"The best jud ilang tuna. Bisan late night order, fresh pa gihapon",TIER_A_CONFIDENT,not_complaint,140
REV-0009587,Maka happy first nako mag eat ug indian food unya daghan ilang gi serve maka happy! Daghan kaayo ang chicken and ang samosa dagko pud sya. Thank you! Nagcrave na nuon ko hahah,TIER_A_CONFIDENT,not_complaint,141
REV-0009638,Do not buy their meals here. Not worth it the price kay gamay ra kaayo. Mura tag trial sample ka gamay! Grabe sad mo uy! Sa picture daghan pero pag abot gamay kaayo! Tsk!,TIER_A_CONFIDENT,complaint,142
REV-0009657,"ang lasagna kay gamay kaayo ug sauce, all pasta and very dry na ang texture, makasad kaayo",TIER_A_CONFIDENT,complaint,143
REV-0009682,"Sa cake choices … di mao inyong gi hatag. Sa atua pa kamoy nag buot sa choices. Sa classic polvoron, cashew inyong gi hatag. Cge lang kay lami man . Ok na lang. nalipay mn ang mga bata.",TIER_A_CONFIDENT,complaint,144
REV-0009735,Grabe ka sulit. Kapila najud ko nag order drea and it’s always as its best. Highly recommended. Lami kaayo🫶,TIER_A_CONFIDENT,not_complaint,145
REV-0009931,LAMI KAAYO AS ALWAYSSS,TIER_A_CONFIDENT,not_complaint,146
REV-0009979,Nausab inyong kawali dati dagko2 pa inyo gina serve karon nigamay na inyong kawali,TIER_A_CONFIDENT,complaint,147
REV-0010029,🤩lami daghan pod ug gravy,TIER_A_CONFIDENT,not_complaint,148
REV-0010069,"Bet kaayo! baby back ribs, wala tihika ang slice, lami ug sauce & atsara. Lechon sisig kay crispy ug sakto sa templa pero mdjo oily para nko. Lechon paksiw mas galabi ang sabaw pero sabaw plng ulam na",TIER_A_CONFIDENT,complaint,149
REV-0010417,Ka duha nako nag eat sa ilang food dili na need og toyo and oban pa lami na daan,TIER_A_CONFIDENT,not_complaint,150
REV-0010481,Omg!!! Super sulit and lami ang strawberry cake. The strawberries are sweet and daghan very aesthetic pa jud. The cake is giving 1000/20. I’ll buy na here always. Tysm.,TIER_A_CONFIDENT,not_complaint,151
REV-0010527,Ang bulalo gamay kayog sabaw 😭 110 kaayo ang order 😭,TIER_A_CONFIDENT,complaint,152
REV-0010549,lami :) kpila na mi sig order dire :) never pa jud mi naka dine-in dire haha tortang talong my fave!,TIER_A_CONFIDENT,not_complaint,153
REV-0010569,lami ang Miso Ozaku. unta next time ipack well ang order kay nayabo. may nalang kabantay ang rider. kudos sa Rider,TIER_A_CONFIDENT,complaint,154
REV-0010642,thanks matilawan Nato ni kalami sa bunados,TIER_A_CONFIDENT,not_complaint,155
REV-0010688,"Lami siya, pero murag pan-os ang sauce sa chicken.",TIER_A_CONFIDENT,complaint,156
REV-0010729,"as always very lami jud ila fried rice, ngohiong and beefloaf 💕",TIER_A_CONFIDENT,not_complaint,157
REV-0010920,"Goods ang corn dog ug ang samgyup hochuchang, more sauce unta sa sunod",TIER_A_CONFIDENT,complaint,158
REV-0011206,Mas mo lami ang free sabaw if bawasan gamay ang ka aslom,TIER_A_CONFIDENT,complaint,159
REV-0011225,tasty lechon manok with lamian na sauce  barato pa jud. thank you. till nextym,TIER_A_CONFIDENT,not_complaint,160
REV-0011239,Requested for malasado egg and they granted 🥺 Thank you! my order arrived hot and chicken is very lami jud. Will surely order again soon! 💗,TIER_A_CONFIDENT,not_complaint,161
REV-0011248,"Ang butanganan sa gravy nalata , gamay nlng kaau ang gravy hayss.then dli na sprite ang lasa tubig na...Pls po next time.. thank you",TIER_A_CONFIDENT,complaint,162
REV-0011361,Fast delivery! Lami! pero unta di pasobraan ug kaparat...,TIER_A_CONFIDENT,complaint,163
REV-0011403,"Hello Dimsum house Jy, please ko pa klaro sa inyong ipa deliver nga item, imbis nagdali mi lunch sa akong anak sa school nagpa Deliver ra gani mi bisag dool ra, Khlabg pyud inyong gihatag. kapila na.",TIER_A_CONFIDENT,complaint,164
REV-0011407,"this is not my first time to eat in your restaurant,but i'm disappointed today. Ayaw kau ninyu tipira inyu fresh orange juice akong malasahan is tubig lng ug sugar. Gamay ra ang orange.",TIER_A_CONFIDENT,complaint,165
REV-0011457,"Ang chicken liver hard to chew... need maluto tarong, pero over all lami ang chopsuey.",TIER_A_CONFIDENT,complaint,166
REV-0011511,satisfying kaayu ang serving sa fries ug lamian ang chicken. taod2x pa usa nako nakaon peru crispy ghapun ang fries. Ang manok ky okay kaayu ang lasa.Thank you Wingers ❤ nkalimot qg paadd ug sauce,TIER_A_CONFIDENT,not_complaint,167
REV-0011540,"Dabest gyud, for me! Solbs gyud ko diri pirmi! 😋😋😋",TIER_A_CONFIDENT,not_complaint,168
REV-0011620,"I have been ordering several times in this shop but in this batch, the brownies are hard and crunchy. Sauna kay humok and lami, karon murag gakaon ug bato.",TIER_A_CONFIDENT,complaint,169
REV-0011785,"Hilaw ang paa, sunog ra ang skin. Gahi kaayo ang pork bbq. Maygani lami ra ang chorizo. Hayyy kasayang...",TIER_A_CONFIDENT,complaint,170
REV-0011848,"Way atik, daghan kaayo ila serving na shock mi ana gud ko nga basin sayop na deliver sa driver pero sakto rajud, daghan rajud kaayo, sulit kaayo promiseee",TIER_A_CONFIDENT,not_complaint,171
REV-0011866,THANK YOU KAY DILI MO DALO UG COFFEE. DILI PAREHAS SA MCDONALDS DAMOSA BRANCH 3/4 ICE 1/4 COFFEE. TAGAPAGMANA SA MACDONALDS TUNG NAG SERVE SA AKO COFFEE? DALOA NILA UY. BWIS*T MAN DIAY KO 😁,TIER_A_CONFIDENT,not_complaint,172
REV-0011887,"HOY UG MAHUTDAN GANI MOG SUD.AN, PAGSULTI MO OR PANAWAG MO AY MOG BUOT2 UG TANGGAL! AT LEAST MAN LANG NAKAPILI MIG REPLACEMENT. UNSAON MANA NAMO ANG GUSO, ISUWA NAMOG KAN.ON!? GA BAYAD KOG DELIVERYFEE",TIER_A_CONFIDENT,complaint,173
REV-0012068,"ang packaging  labi na sa food nga naay sabaw, Oki kaayo. Di gyud ka magmahay sa presyo kay aside sa lami, maayo pa gyud ang packing!  Mu order pa nya ko puhonnya irecommend gyud ni nako. MUST TRY!!",TIER_A_CONFIDENT,not_complaint,174
REV-0012168,"lami syaaaaaa legit pero gamay kayng sauce, wish it will be bigger in the future.",TIER_A_CONFIDENT,complaint,175
REV-0012468,"Sa sige kog order, karon lang jud naay apil silopin na green sa sinampalokan. Abi kog gulay. Ahak silopin man sya uy :(",TIER_A_CONFIDENT,complaint,176
REV-0012478,bati kaayu ila gepadala sa akoa puro sabaw nya panit wa jd unod faets..d nq m usab pwera gabs lng !! tam is pa jd kaayu nasobraan sugar mura nmn ug d paksiw,TIER_A_CONFIDENT,complaint,177
REV-0012479,kdghn nq cge order dri usahay lami usahay pud murag daan na manok ila ipada ky dry kaayu..,TIER_A_CONFIDENT,complaint,178
REV-0012541,nag order kog spicy beef pero puros sila man diay ni and ako partner nawalan gana kaon tungod puros siili ga daghan. gi butang nalang unta beef with chilis dili spicy.  first time nako mag rate ani.,TIER_A_CONFIDENT,complaint,179
